Inep,Latitude,Longitude
43108873,0.0,0.0
43108881,0.0,0.0
43108903,0.0,0.0
43108911,0.0,0.0
43108938,0.0,0.0
43108946,0.0,0.0
43108954,0.0,0.0
43108962,0.0,0.0
43108970,0.0,0.0
43109047,0.0,0.0
43109110,0.0,0.0
43109136,0.0,0.0
43109152,0.0,0.0
43109160,0.0,0.0
43109179,0.0,0.0
43109187,0.0,0.0
43109241,0.0,0.0
43109250,0.0,0.0
43109268,0.0,0.0
43109276,0.0,0.0
43109284,0.0,0.0
43109314,0.0,0.0
43109330,0.0,0.0
43109349,0.0,0.0
43109357,0.0,0.0
43109365,0.0,0.0
43109373,0.0,0.0
43169244,0.0,0.0
43169252,0.0,0.0
43169279,0.0,0.0
43169414,0.0,0.0
43169481,0.0,0.0
43171290,0.0,0.0
43171788,0.0,0.0
43172393,0.0,0.0
43172415,0.0,0.0
43172423,0.0,0.0
43172440,0.0,0.0
43172458,0.0,0.0
43173195,0.0,0.0
43173250,0.0,0.0
43173306,0.0,0.0
43173314,0.0,0.0
43173330,0.0,0.0
43173349,0.0,0.0
43174329,0.0,0.0
43174337,0.0,0.0
43174345,0.0,0.0
43174590,0.0,0.0
43175449,0.0,0.0
43175457,0.0,0.0
43175490,0.0,0.0
43175503,0.0,0.0
43175511,0.0,0.0
43175538,0.0,0.0
43175546,0.0,0.0
43175554,0.0,0.0
43175562,0.0,0.0
43175570,0.0,0.0
43175589,0.0,0.0
43175597,0.0,0.0
43176500,0.0,0.0
43176666,0.0,0.0
43178294,0.0,0.0
43178316,0.0,0.0
43178332,0.0,0.0
43178634,0.0,0.0
43178740,0.0,0.0
43179037,0.0,0.0
43179045,0.0,0.0
43179053,0.0,0.0
43179070,0.0,0.0
43179622,0.0,0.0
43179886,0.0,0.0
43180523,0.0,0.0
43180728,0.0,0.0
43181120,0.0,0.0
43181139,0.0,0.0
43181147,0.0,0.0
43181155,0.0,0.0
43182224,0.0,0.0
43182232,0.0,0.0
43182259,0.0,0.0
43182275,0.0,0.0
43182860,0.0,0.0
43184855,0.0,0.0
43184995,0.0,0.0
43185002,0.0,0.0
43185037,0.0,0.0
43185061,0.0,0.0
43185126,0.0,0.0
43185231,0.0,0.0
43185290,0.0,0.0
43185380,0.0,0.0
43185401,0.0,0.0
43185622,0.0,0.0
43186700,0.0,0.0
43187358,0.0,0.0
43187390,0.0,0.0
43187412,0.0,0.0
43187420,0.0,0.0
43187455,0.0,0.0
43187510,0.0,0.0
43187528,0.0,0.0
43187536,0.0,0.0
43187544,0.0,0.0
43187552,0.0,0.0
43187579,0.0,0.0
43187587,0.0,0.0
43187595,0.0,0.0
43187633,0.0,0.0
43187641,0.0,0.0
43187650,0.0,0.0
43187668,0.0,0.0
43187676,0.0,0.0
43187684,0.0,0.0
43187722,0.0,0.0
43187730,0.0,0.0
43187757,0.0,0.0
43187773,0.0,0.0
43187790,0.0,0.0
43187870,0.0,0.0
43187897,0.0,0.0
43187900,0.0,0.0
43187919,0.0,0.0
43187927,0.0,0.0
43187935,0.0,0.0
43187951,0.0,0.0
43187960,0.0,0.0
43187978,0.0,0.0
43187986,0.0,0.0
43187994,0.0,0.0
43188001,0.0,0.0
43188010,0.0,0.0
43188028,0.0,0.0
43188044,0.0,0.0
43188052,0.0,0.0
43188060,0.0,0.0
43188087,0.0,0.0
43188109,0.0,0.0
43188290,0.0,0.0
43188338,0.0,0.0
43188346,0.0,0.0
43188362,0.0,0.0
43188370,0.0,0.0
43188389,0.0,0.0
43188397,0.0,0.0
43188419,0.0,0.0
43188427,0.0,0.0
43188443,0.0,0.0
43188451,0.0,0.0
43188508,0.0,0.0
43188524,0.0,0.0
43188532,0.0,0.0
43188567,0.0,0.0
43188575,0.0,0.0
43188591,0.0,0.0
43188605,0.0,0.0
43188613,0.0,0.0
43188648,0.0,0.0
43188702,0.0,0.0
43188710,0.0,0.0
43188729,0.0,0.0
43188974,0.0,0.0
43188990,0.0,0.0
43189482,0.0,0.0
43190057,0.0,0.0
43190073,0.0,0.0
43190090,0.0,0.0
43190111,0.0,0.0
43190138,0.0,0.0
43190162,0.0,0.0
43190197,0.0,0.0
43190200,0.0,0.0
43190235,0.0,0.0
43190243,0.0,0.0
43190251,0.0,0.0
43190260,0.0,0.0
43190278,0.0,0.0
43190286,0.0,0.0
43190332,0.0,0.0
43190340,0.0,0.0
43190413,0.0,0.0
43190421,0.0,0.0
43190448,0.0,0.0
43190472,0.0,0.0
43190510,0.0,0.0
43190596,0.0,0.0
43190693,0.0,0.0
43190731,0.0,0.0
43190766,0.0,0.0
43190820,0.0,0.0
43190839,0.0,0.0
43190847,0.0,0.0
43190863,0.0,0.0
43190871,0.0,0.0
43190880,0.0,0.0
43190898,0.0,0.0
43191100,0.0,0.0
43191134,0.0,0.0
43191150,0.0,0.0
43191185,0.0,0.0
43191231,0.0,0.0
43191258,0.0,0.0
43191266,0.0,0.0
43191282,0.0,0.0
43191304,0.0,0.0
43191320,0.0,0.0
43191339,0.0,0.0
43191347,0.0,0.0
43191355,0.0,0.0
43191363,0.0,0.0
43191398,0.0,0.0
43191401,0.0,0.0
43191410,0.0,0.0
43191428,0.0,0.0
43191436,0.0,0.0
43191444,0.0,0.0
43191460,0.0,0.0
43191479,0.0,0.0
43191487,0.0,0.0
43191495,0.0,0.0
43191509,0.0,0.0
43191525,0.0,0.0
43191541,0.0,0.0
43191568,0.0,0.0
43191576,0.0,0.0
43191606,0.0,0.0
43191622,0.0,0.0
43191630,0.0,0.0
43191649,0.0,0.0
43191681,0.0,0.0
43191690,0.0,0.0
43191703,0.0,0.0
43191720,0.0,0.0
43191738,0.0,0.0
43191746,0.0,0.0
43191754,0.0,0.0
43191762,0.0,0.0
43191800,0.0,0.0
43191819,0.0,0.0
43191835,0.0,0.0
43191843,0.0,0.0
43191886,0.0,0.0
43191908,0.0,0.0
43191924,0.0,0.0
43191932,0.0,0.0
43191940,0.0,0.0
43191959,0.0,0.0
43191967,0.0,0.0
43191975,0.0,0.0
43191983,0.0,0.0
43200907,0.0,0.0
43200923,0.0,0.0
43200931,0.0,0.0
43200958,0.0,0.0
43200966,0.0,0.0
43200974,0.0,0.0
43200982,0.0,0.0
43200990,0.0,0.0
43201008,0.0,0.0
43201016,0.0,0.0
43201024,0.0,0.0
43201040,0.0,0.0
43201075,0.0,0.0
43201105,0.0,0.0
43201113,0.0,0.0
43201121,0.0,0.0
43201148,0.0,0.0
43201164,0.0,0.0
43201172,0.0,0.0
43201199,0.0,0.0
43201202,0.0,0.0
43201245,0.0,0.0
43201300,0.0,0.0
43201318,0.0,0.0
43201342,0.0,0.0
43201407,0.0,0.0
43201431,0.0,0.0
43201466,0.0,0.0
43201474,0.0,0.0
43201490,0.0,0.0
43201539,0.0,0.0
43201555,0.0,0.0
43201571,0.0,0.0
43201610,0.0,0.0
43201717,0.0,0.0
43201750,0.0,0.0
43201776,0.0,0.0
43203140,0.0,0.0
43203159,0.0,0.0
43203167,0.0,0.0
43203191,0.0,0.0
43203205,0.0,0.0
43203221,0.0,0.0
43203230,0.0,0.0
43203655,0.0,0.0
43203817,0.0,0.0
43203825,0.0,0.0
43203833,0.0,0.0
43203841,0.0,0.0
43203850,0.0,0.0
43203868,0.0,0.0
43203876,0.0,0.0
43203884,0.0,0.0
43204627,0.0,0.0
43204929,0.0,0.0
43206247,0.0,0.0
43206255,0.0,0.0
43206263,0.0,0.0
43206271,0.0,0.0
43206280,0.0,0.0
43206298,0.0,0.0
43206301,0.0,0.0
43206310,0.0,0.0
43206328,0.0,0.0
43206336,0.0,0.0
43206344,0.0,0.0
43206352,0.0,0.0
43206360,0.0,0.0
43206379,0.0,0.0
43206387,0.0,0.0
43206450,0.0,0.0
43206492,0.0,0.0
